sector,publishedDate,sentiment
Basic Materials,24/08/2020,-0.826738
Basic Materials,30/08/2020,-0.705451738
Basic Materials,07/09/2020,-0.797565937
Basic Materials,08/09/2020,0.142132431
Basic Materials,09/09/2020,0.869388223
Basic Materials,10/09/2020,-0.786017656
Basic Materials,11/09/2020,0
Basic Materials,15/09/2020,-0.229241736
Basic Materials,16/09/2020,0.226945177
Basic Materials,17/09/2020,0
Basic Materials,20/09/2020,-0.679378704
Basic Materials,21/09/2020,-0.866579533
Basic Materials,22/09/2020,0.078371948
Basic Materials,23/09/2020,-0.132837086
Basic Materials,24/09/2020,0.858098626
Basic Materials,25/09/2020,0.273419649
Basic Materials,28/09/2020,0
Basic Materials,29/09/2020,-0.085816334
Basic Materials,30/09/2020,-0.725258827
Basic Materials,01/10/2020,0.222449044
Basic Materials,02/10/2020,0.007504473
Basic Materials,05/10/2020,0.836566687
Basic Materials,07/10/2020,0.066140672
Basic Materials,08/10/2020,-0.004710838
Basic Materials,09/10/2020,0.501049519
Basic Materials,12/10/2020,0
Basic Materials,13/10/2020,0.382467051
Basic Materials,14/10/2020,-0.898032993
Basic Materials,15/10/2020,-0.008614361
Basic Materials,16/10/2020,0.418629349
Basic Materials,21/10/2020,-0.053337485
Basic Materials,22/10/2020,0.098210265
Basic Materials,23/10/2020,0.946926922
Basic Materials,27/10/2020,-0.871293992
Basic Materials,28/10/2020,0.410139144
Basic Materials,01/11/2020,0.345715732
Basic Materials,03/11/2020,0.749705315
Basic Materials,04/11/2020,-0.504827271
Basic Materials,05/11/2020,0.634570301
Basic Materials,06/11/2020,0.358744353
Basic Materials,07/11/2020,0.023135096
Basic Materials,08/11/2020,0.202426449
Basic Materials,09/11/2020,-0.968310118
Basic Materials,10/11/2020,0.262655218
Basic Materials,11/11/2020,0.274772436
Basic Materials,16/11/2020,-0.280927519
Basic Materials,18/11/2020,0.441830546
Basic Materials,19/11/2020,0.798665911
Basic Materials,24/11/2020,-0.432503283
Basic Materials,27/11/2020,0.198660255
Basic Materials,30/11/2020,-0.203901927
Basic Materials,01/12/2020,-0.476238251
Basic Materials,03/12/2020,-0.952416003
Basic Materials,08/12/2020,0.084814171
Basic Materials,09/12/2020,-0.016524355
Basic Materials,10/12/2020,0.458437056
Basic Materials,11/12/2020,-0.143229246
Basic Materials,14/12/2020,-0.340298623
Basic Materials,16/12/2020,0.441116244
Basic Materials,17/12/2020,-0.944440335
Basic Materials,18/12/2020,0.274799138
Basic Materials,22/12/2020,0
Basic Materials,23/12/2020,-0.186239511
Basic Materials,25/12/2020,0.912236154
Basic Materials,28/12/2020,-0.19339259
Basic Materials,05/01/2021,-0.416570768
Basic Materials,06/01/2021,0.338498771
Basic Materials,08/01/2021,0
Basic Materials,11/01/2021,0.033041676
Basic Materials,14/01/2021,0.290618976
Basic Materials,20/01/2021,-0.216949776
Basic Materials,22/01/2021,0.04778079
Basic Materials,26/01/2021,0.06070497
Basic Materials,27/01/2021,-0.528079331
Basic Materials,28/01/2021,0.830361337
Basic Materials,29/01/2021,-0.444197039
Basic Materials,30/01/2021,0.205490664
